,previous_room,current_room,"(1, 1)","(1, 0)","(0, 1)","(0, 0)"
0,r4,r1,0.7128427128427128,0.28715728715728717,0.507908611599297,0.492091388400703
1,r3,r1,0.5434380776340111,0.4565619223659889,0.58649468892261,0.41350531107738997
2,r2,r1,0.5907692307692308,0.40923076923076923,0.5633734939759036,0.43662650602409636
3,r7,r1,0.6121898597626753,0.3878101402373247,0.4139194139194139,0.5860805860805861
4,r1,r2,0.1381337252020573,0.8618662747979426,0.13185755534167468,0.8681424446583254
5,r4,r2,0.15584415584415584,0.8441558441558441,0.1271236086701816,0.8728763913298184
6,r3,r2,0.1256931608133087,0.8743068391866913,0.1433990895295903,0.8566009104704098
7,r8,r2,0.07096774193548387,0.9290322580645162,0.1398663697104677,0.8601336302895323
8,r1,r3,0.43644379132990446,0.5635562086700955,0.46968238691049086,0.5303176130895092
9,r2,r3,0.41846153846153844,0.5815384615384616,0.45590361445783134,0.5440963855421687
10,c1,r3,0.46544831524842945,0.5345516847515706,0.41140215716486905,0.588597842835131
11,r7,r3,0.42340884573894283,0.5765911542610572,0.5439560439560439,0.45604395604395603
12,r9,r4,0.3289665211062591,0.6710334788937409,0.2726211325160537,0.7273788674839463
13,r1,r4,0.3666421748714181,0.633357825128582,0.1867179980750722,0.8132820019249278
14,r2,r4,0.3230769230769231,0.676923076923077,0.2833734939759036,0.7166265060240964
15,r8,r4,0.5161290322580645,0.4838709677419355,0.2730512249443207,0.7269487750556793
16,r9,r5,0.1819505094614265,0.8180494905385735,0.12025685931115003,0.87974314068885
17,r11,r5,0.1740072202166065,0.8259927797833935,0.08866995073891626,0.9113300492610837
18,r17,r5,0.1188118811881188,0.8811881188118812,0.14589486119314826,0.8541051388068518
19,r13,r5,0.13233082706766916,0.8676691729323308,0.14005763688760806,0.8599423631123919
20,r10,r5,0.15443037974683543,0.8455696202531645,0.0611764705882353,0.9388235294117647
21,r18,r5,0.13371537726838587,0.8662846227316141,0.14116777531411678,0.8588322246858833
22,r19,r5,0.1553030303030303,0.8446969696969697,0.11666666666666667,0.8833333333333333
23,r6,r5,0.10666666666666667,0.8933333333333333,0.1437037037037037,0.8562962962962963
24,r21,r5,0.15675675675675677,0.8432432432432433,0.13448275862068965,0.8655172413793103
25,c3,r5,0.1755577109602328,0.8244422890397672,0.1095690284879474,0.8904309715120526
26,r20,r5,0.0889487870619946,0.9110512129380054,0.14687037949728932,0.8531296205027107
27,r15,r5,0.15469613259668508,0.8453038674033149,0.11239495798319328,0.8876050420168067
28,o1,r5,0.12522686025408347,0.8747731397459165,0.14869029275808937,0.8513097072419107
